Date,Industrial Production (Mom %), Capacity Utilization Index Mom (%), Nonfarm Payrolls Index Mom (%), Nonfarm Payrolls Index Mom (%), Advance Retail Sales Index Mom (%),Manufacturers New Orders Index Mom (%),Real GDP QoQ (%),Real Personal Income MoM (%)
1992-04-01,0.77,0.77,0.14,7.4,1.03,0.8,1.08,0.36
1992-05-01,0.33,0.33,0.12,7.6,2.0,0.34,1.08,0.52
1992-06-01,0.06,0.06,0.06,7.8,-0.14,0.46,1.08,0.41
1992-07-01,0.91,0.91,0.08,7.7,-0.56,1.02,0.99,-0.09
1992-08-01,-0.56,-0.56,0.11,7.6,-0.26,-0.27,0.99,0.38
1992-09-01,0.32,0.32,0.03,7.6,1.35,1.2,0.99,-0.39
1992-10-01,0.68,0.68,0.17,7.3,-1.82,1.04,1.04,-0.5
1992-11-01,0.38,0.38,0.13,7.4,2.79,0.04,1.04,0.22
1992-12-01,0.15,0.15,0.2,7.4,2.08,0.94,1.04,3.65
1993-01-01,0.39,0.39,0.26,7.3,-0.31,1.08,0.17,-2.75
1993-02-01,0.48,0.48,0.23,7.1,-0.69,-0.39,0.17,0.46
1993-03-01,-0.1,-0.1,-0.04,7.0,1.63,-0.69,0.17,-0.26
1993-04-01,0.28,0.28,0.27,7.1,-0.24,2.64,0.58,0.75
1993-05-01,-0.37,-0.37,0.25,7.1,-0.23,0.5,0.58,-0.02
1993-06-01,0.23,0.23,0.15,7.0,-0.39,0.03,0.58,-0.12
1993-07-01,0.26,0.26,0.28,6.9,1.49,1.62,0.48,0.32
1993-08-01,-0.11,-0.11,0.13,6.8,1.0,-0.34,0.48,0.22
1993-09-01,0.51,0.51,0.22,6.7,0.7,0.78,0.48,-0.22
1993-10-01,0.75,0.75,0.26,6.8,2.07,0.55,1.36,-0.42
1993-11-01,0.47,0.47,0.23,6.6,-1.65,1.22,1.36,0.26
1993-12-01,0.58,0.58,0.3,6.5,3.61,0.73,1.36,3.48
